method	method_group	what_it_does	best_use_case	what_results_mean	when_not_to_use	main_caveats
PCA	classical dimensionality reduction	Finds linear axes explaining the largest variance in the feature matrix.	First-pass QC, batch checks, plate effects, broad treatment separation and reportable sanity checks.	Separation along PCs suggests large systematic differences, but the cause may be biology, batch, dose, focus or segmentation quality.	Do not use PCA alone to claim mechanism of action or class prediction.	Dominated by high-variance structure; nonlinear or subtle phenotypes may be missed.
UMAP	classical nonlinear embedding	Places profiles in a low-dimensional map that tries to preserve local neighbourhoods.	Exploring whether treatments form local groups after PCA/QC and comparing with nearest-neighbour tables.	Nearby points may share morphology, but distances and cluster shapes are not globally quantitative.	Do not use UMAP alone for statistical claims or as the only evidence for clusters.	Sensitive to parameters, random seed, scaling and preprocessing; attractive plots can overstate structure.
Nearest neighbours	profile similarity / NN	Finds the closest profiles or compounds using a chosen distance metric.	Checking whether replicates find each other, identifying compounds with similar phenotypes, and selecting local contrasts for explanation.	A close neighbour suggests phenotypic similarity under the chosen feature space and preprocessing.	Avoid interpreting nearest neighbours when replicate QC is poor or batch/plate explains major PCs.	Depends strongly on preprocessing, feature selection, metric and whether profiles or compound medians are used.
Compound-level distance heatmap	profile similarity / NN	Aggregates profiles by compound and displays pairwise compound distances.	Showing relationships among treatments and controls in a compact report figure.	Blocks of low distance can indicate groups of similar phenotypes.	Do not treat heatmap clusters as formal MOA classes without additional evidence.	Aggregation can hide replicate variability and dose/plate effects.
Hierarchical clustered heatmap	profile similarity / clustering	Reorders a distance heatmap by hierarchical clustering to show related groups.	Exploratory grouping of compounds and controls after QC has passed.	Adjacent compounds in the dendrogram are relatively similar under the selected distance metric.	Do not over-interpret dendrogram branch lengths when the underlying silhouette/replicate metrics are weak.	Cluster order can change with metric, linkage, filtering and aggregation choices.
K-means clustering	classical clustering	Partitions profiles into a chosen number of spherical-ish clusters.	Fast exploratory cluster labels when the approximate number of groups is being explored.	Cluster membership indicates similar profiles under the selected feature space, not necessarily shared biology.	Poor choice when clusters are non-spherical, uneven in size, or when k is arbitrary and unsupported.	Requires k; sensitive to scaling and initialisation; should be checked with silhouette and replicates.
Agglomerative clustering	classical clustering	Builds nested clusters from pairwise distances.	Exploring hierarchical relationships among compounds or profile medians.	Clusters summarise relative similarity at chosen cut levels.	Avoid using as a final classifier without stability and biological validation.	Sensitive to linkage and distance metric; can force structure into continuous gradients.
DBSCAN	density clustering	Finds dense regions and labels sparse points as noise.	Detecting strong dense phenotypic groups or outliers without specifying k.	Noise labels can identify unusual or poorly grouped profiles.	Not ideal when densities vary greatly or the dataset is small/high-dimensional.	Sensitive to epsilon/min-samples and feature scaling.
Replicate correlation	replicate QC	Measures whether profiles from the same treatment are more similar to each other.	Deciding whether a phenotype is reproducible enough to interpret or model.	Higher within-treatment correlation supports reproducibility; low values suggest weak, noisy or heterogeneous profiles.	Do not use ML/MOA/CLIPn claims if replicate reproducibility is poor and unresolved.	Large replicate counts can produce huge pairwise tables; summaries should be read first.
Batch/PC association	batch QC	Quantifies how much metadata such as plate or batch explains leading PCs.	Checking whether preprocessing/normalisation reduced unwanted technical structure.	High eta-squared for plate/batch suggests technical effects may be driving the feature space.	Single-group variables are not testable and should not be interpreted as evidence of no batch effect.	One-variable-at-a-time checks do not prove causal batch correction.
Centroid MOA scoring	MOA / similarity	Compares query profiles with class or pseudo-anchor centroids.	Generating hypotheses when reference classes or pseudo-anchors are available and class sizes are adequate.	High similarity to a class centroid suggests phenotypic resemblance to that class.	Do not use when classes have too few examples, poor replicate QC or strong confounding.	Centroids hide within-class heterogeneity; output is a hypothesis, not proof of mechanism.
Pseudo-anchor MOA	MOA / clustering	Builds data-driven anchor groups and labels them optionally using phenotype annotations.	When true MOA labels are missing but the user wants structured phenotype hypotheses.	A pseudo-anchor label summarises a group of similar profiles; phenotype labels should be reviewed via audit tables.	Do not use as a replacement for curated MOA labels or external validation.	Clusters can reflect batch, dose or dominant morphology rather than mechanism.
Random forest / tree ML	supervised ML	Learns nonlinear feature patterns that separate supplied classes.	Software smoke tests, labelled benchmark data, or explainability when labels are reliable and sample size is adequate.	Good cross-validation suggests labels are learnable from morphology under the train/test design.	Avoid when labels are weak, leakage-prone, confounded or there are too few samples per class.	Feature importance can be biased; performance must be checked with held-out or grouped validation.
Linear SVM / logistic regression	supervised ML	Learns a linear boundary between classes.	Simple interpretable baselines and labelled data with moderate sample size.	Good performance means classes are linearly separable after preprocessing.	Not suitable for complex nonlinear phenotypes unless used as a baseline.	Coefficients depend on scaling and correlated features.
Permutation importance	model explanation	Measures how much model performance drops when a feature is shuffled.	Global feature ranking after a model has shown credible validation performance.	Large drops suggest the model relies on that feature.	Do not use if the classifier itself has poor or leakage-prone performance.	Correlated features can share importance; not a causal explanation.
SHAP	model explanation	Estimates local/global contributions of features to a model prediction or contrast.	Explaining compound-vs-control or compound-vs-neighbour differences after QC and valid model fitting.	High SHAP values indicate features the fitted model used for that contrast.	Do not treat SHAP as biological proof or use it when the contrast has too few profiles.	Model-dependent, sensitive to background selection and correlated features.
CLIPn	optional latent integration	Attempts to learn a latent representation across datasets/references using the CLIPn backend.	Optional comparison layer when users want to benchmark against CLIPn or integrate multiple compatible datasets.	Useful only if the backend genuinely ran and latent diagnostics support structure.	Do not prioritise CLIPn over classical/NN/QC routes when diagnostics are weak; single-dataset splits are software tests, not true integration benchmarks.	Backend/API/GPU fragile; published claims may not hold on every dataset; always report provenance and fallback status.
CLIPn latent-space MOA	optional latent MOA	Runs pseudo-anchor/MOA analysis on CLIPn latent features when CLIPn succeeds.	Secondary analysis to ask whether latent-space groups agree with feature-space MOA or known biology.	Agreement with classical MOA can strengthen confidence; disagreement should trigger review.	Do not run or interpret as CLIPn biology when PCA fallback was used.	Latent-space clustering can be hard to interpret and should be clearly labelled separately from feature-space MOA.
